m,r2,err
1,5.1194,1.43099965059395
2,11.183,2.11499408982626
3,19.2099,2.77199567099229
4,24.1025,3.1049959742325
5,31.7552,3.56399775533038
6,38.6712,3.93299885583507
7,44.7322,4.22999763593315
8,52.2579,4.57199737532733
