m,r2,err
1,8.42724,1.836
2,15.7628,2.51099980087614
3,22.1861,2.97899983215844
4,28.934,3.40199941211047
5,35.0438,3.74399786324725
6,41.9225,4.09499694749581
7,49.4172,4.44599595141516
8,57.9605,4.8149974039453
